ROUTE,POI0,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,COST
00356217894A,0,3,5,6,2,1,7,8,9,4,10,56109
00356247981A,0,3,5,6,2,4,7,9,8,1,10,56112
00562734981A,0,5,6,2,7,3,4,9,8,1,10,56118
00243678591A,0,2,4,3,6,7,8,5,9,1,10,56120
0054637218A9,0,5,4,6,3,7,2,1,8,10,9,56122
00413258769A,0,4,1,3,2,5,8,7,6,9,10,56122
0042673185A9,0,4,2,6,7,3,1,8,5,10,9,56125
0034678291A5,0,3,4,6,7,8,2,9,1,10,5,56136
0045673891A2,0,4,5,6,7,3,8,9,1,10,2,56167
00546321879A,0,5,4,6,3,2,1,8,7,9,10,56170
00416237589A,0,4,1,6,2,3,7,5,8,9,10,56172
00456372981A,0,4,5,6,3,7,2,9,8,1,10,56174
0045263789A1,0,4,5,2,6,3,7,8,9,10,1,56177
00356417982A,0,3,5,6,4,1,7,9,8,2,10,56177
0025364879A1,0,2,5,3,6,4,8,7,9,10,1,56178
0031462759A8,0,3,1,4,6,2,7,5,9,10,8,56179
00215463798A,0,2,1,5,4,6,3,7,9,8,10,56181
00543761892A,0,5,4,3,7,6,1,8,9,2,10,56197
00453672918A,0,4,5,3,6,7,2,9,1,8,10,56210
00345217698A,0,3,4,5,2,1,7,6,9,8,10,56211
0051342867A9,0,5,1,3,4,2,8,6,7,10,9,56212
00345672198A,0,3,4,5,6,7,2,1,9,8,10,56213
0042367851A9,0,4,2,3,6,7,8,5,1,10,9,56215
0043657218A9,0,4,3,6,5,7,2,1,8,10,9,56218
0045627813A9,0,4,5,6,2,7,8,1,3,10,9,56222
00254361897A,0,2,5,4,3,6,1,8,9,7,10,56260
00245176893A,0,2,4,5,1,7,6,8,9,3,10,56263
00453628971A,0,4,5,3,6,2,8,9,7,1,10,56265
0043152769A8,0,4,3,1,5,2,7,6,9,10,8,56266
00532167498A,0,5,3,2,1,6,7,4,9,8,10,56266
0032547689A1,0,3,2,5,4,7,6,8,9,10,1,56269
00453678219A,0,4,5,3,6,7,8,2,1,9,10,56271
0032645897A1,0,3,2,6,4,5,8,9,7,10,1,56275
003452678A91,0,3,4,5,2,6,7,8,10,9,1,56278
00452618397A,0,4,5,2,6,1,8,3,9,7,10,56291
00456738921A,0,4,5,6,7,3,8,9,2,1,10,56294
00436528719A,0,4,3,6,5,2,8,7,1,9,10,56296
00324658719A,0,3,2,4,6,5,8,7,1,9,10,56298
00514673829A,0,5,1,4,6,7,3,8,2,9,10,56300
00325478691A,0,3,2,5,4,7,8,6,9,1,10,56302
00536472198A,0,5,3,6,4,7,2,1,9,8,10,56305
0053274618A9,0,5,3,2,7,4,6,1,8,10,9,56320
0045371689A2,0,4,5,3,7,1,6,8,9,10,2,56349
00345276981A,0,3,4,5,2,7,6,9,8,1,10,56351
00465382791A,0,4,6,5,3,8,2,7,9,1,10,56353
00356478291A,0,3,5,6,4,7,8,2,9,1,10,56355
00256738194A,0,2,5,6,7,3,8,1,9,4,10,56359
0043625879A1,0,4,3,6,2,5,8,7,9,10,1,56359
00365278491A,0,3,6,5,2,7,8,4,9,1,10,56362
00356278419A,0,3,5,6,2,7,8,4,1,9,10,56378
00453268719A,0,4,5,3,2,6,8,7,1,9,10,56381
00265781439A,0,2,6,5,7,8,1,4,3,9,10,56388
00453612879A,0,4,5,3,6,1,2,8,7,9,10,56390
0043527816A9,0,4,3,5,2,7,8,1,6,10,9,56392
00324517896A,0,3,2,4,5,1,7,8,9,6,10,56392
00542368791A,0,5,4,2,3,6,8,7,9,1,10,56393
0041256783A9,0,4,1,2,5,6,7,8,3,10,9,56394
00253678491A,0,2,5,3,6,7,8,4,9,1,10,56395
00546728931A,0,5,4,6,7,2,8,9,3,1,10,56440
00456372198A,0,4,5,6,3,7,2,1,9,8,10,56442
00432657198A,0,4,3,2,6,5,7,1,9,8,10,56445
00432678591A,0,4,3,2,6,7,8,5,9,1,10,56447
0045678239A1,0,4,5,6,7,8,2,3,9,10,1,56448
0054368729A1,0,5,4,3,6,8,7,2,9,10,1,56450
00421567389A,0,4,2,1,5,6,7,3,8,9,10,56450
00546328791A,0,5,4,6,3,2,8,7,9,1,10,56454
00463578291A,0,4,6,3,5,7,8,2,9,1,10,56456
00435167829A,0,4,3,5,1,6,7,8,2,9,10,56459
00356148279A,0,3,5,6,1,4,8,2,7,9,10,56461
00524638791A,0,5,2,4,6,3,8,7,9,1,10,56464
00356248791A,0,3,5,6,2,4,8,7,9,1,10,56467
00436527891A,0,4,3,6,5,2,7,8,9,1,10,56469
00352167498A,0,3,5,2,1,6,7,4,9,8,10,56473
0013265789A4,0,1,3,2,6,5,7,8,9,10,4,56476
00463758219A,0,4,6,3,7,5,8,2,1,9,10,56476
00425678319A,0,4,2,5,6,7,8,3,1,9,10,56479
00532476891A,0,5,3,2,4,7,6,8,9,1,10,56486
0045231789A6,0,4,5,2,3,1,7,8,9,10,6,56510
0015436789A2,0,1,5,4,3,6,7,8,9,10,2,56511
00416378592A,0,4,1,6,3,7,8,5,9,2,10,56530
00125476839A,0,1,2,5,4,7,6,8,3,9,10,56532
00426153798A,0,4,2,6,1,5,3,7,9,8,10,56534
0034615789A2,0,3,4,6,1,5,7,8,9,10,2,56536
0054267893A1,0,5,4,2,6,7,8,9,3,10,1,56537
0045637289A1,0,4,5,6,3,7,2,8,9,10,1,56538
00453672981A,0,4,5,3,6,7,2,9,8,1,10,56538
0024573869A1,0,2,4,5,7,3,8,6,9,10,1,56541
0035647289A1,0,3,5,6,4,7,2,8,9,10,1,56543
0042567389A1,0,4,2,5,6,7,3,8,9,10,1,56546
00456278193A,0,4,5,6,2,7,8,1,9,3,10,56551
00542678391A,0,5,4,2,6,7,8,3,9,1,10,56555
00345628791A,0,3,4,5,6,2,8,7,9,1,10,56563
00451673892A,0,4,5,1,6,7,3,8,9,2,10,56572
00453762198A,0,4,5,3,7,6,2,1,9,8,10,56573
00354276198A,0,3,5,4,2,7,6,1,9,8,10,56619
00546372891A,0,5,4,6,3,7,2,8,9,1,10,56622
00453278691A,0,4,5,3,2,7,8,6,9,1,10,56625
0053674829A1,0,5,3,6,7,4,8,2,9,10,1,56627
0045628379A1,0,4,5,6,2,8,3,7,9,10,1,56628
0051234769A8,0,5,1,2,3,4,7,6,9,10,8,56631
0045326879A1,0,4,5,3,2,6,8,7,9,10,1,56634
0052467893A1,0,5,2,4,6,7,8,9,3,10,1,56634
00432176598A,0,4,3,2,1,7,6,5,9,8,10,56654
00456273891A,0,4,5,6,2,7,3,8,9,1,10,56656
00456738192A,0,4,5,6,7,3,8,1,9,2,10,56658
00356724891A,0,3,5,6,7,2,4,8,9,1,10,56659
00346578192A,0,3,4,6,5,7,8,1,9,2,10,56661
0045362718A9,0,4,5,3,6,2,7,1,8,10,9,56662
00456127398A,0,4,5,6,1,2,7,3,9,8,10,56664
00356472891A,0,3,5,6,4,7,2,8,9,1,10,56710
00456178293A,0,4,5,6,1,7,8,2,9,3,10,56712
00452761398A,0,4,5,2,7,6,1,3,9,8,10,56717
0023457869A1,0,2,3,4,5,7,8,6,9,10,1,56717
0043675829A1,0,4,3,6,7,5,8,2,9,10,1,56718
00354618279A,0,3,5,4,6,1,8,2,7,9,10,56718
00456732819A,0,4,5,6,7,3,2,8,1,9,10,56721
0025637849A1,0,2,5,6,3,7,8,4,9,10,1,56724
0035467821A9,0,3,5,4,6,7,8,2,1,10,9,56752
