ROUTE,POI0,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,COST
002564783A91,0,2,5,6,4,7,8,3,10,9,1,52941
0043627895A1,0,4,3,6,2,7,8,9,5,10,1,52942
0054326791A8,0,5,4,3,2,6,7,9,1,10,8,52946
00356471892A,0,3,5,6,4,7,1,8,9,2,10,52959
00345628197A,0,3,4,5,6,2,8,1,9,7,10,52962
00435768921A,0,4,3,5,7,6,8,9,2,1,10,52964
00352478691A,0,3,5,2,4,7,8,6,9,1,10,52966
00356748291A,0,3,5,6,7,4,8,2,9,1,10,52968
00145367298A,0,1,4,5,3,6,7,2,9,8,10,52970
00356472891A,0,3,5,6,4,7,2,8,9,1,10,52974
0024165389A7,0,2,4,1,6,5,3,8,9,10,7,52997
0034257891A6,0,3,4,2,5,7,8,9,1,10,6,53007
00542673918A,0,5,4,2,6,7,3,9,1,8,10,53020
00453276918A,0,4,5,3,2,7,6,9,1,8,10,53023
00452671938A,0,4,5,2,6,7,1,9,3,8,10,53025
0042573689A1,0,4,2,5,7,3,6,8,9,10,1,53027
00356428179A,0,3,5,6,4,2,8,1,7,9,10,53027
0052467139A8,0,5,2,4,6,7,1,3,9,10,8,53028
00412537869A,0,4,1,2,5,3,7,8,6,9,10,53029
00452376198A,0,4,5,2,3,7,6,1,9,8,10,53034
00325674189A,0,3,2,5,6,7,4,1,8,9,10,53035
0054632791A8,0,5,4,6,3,2,7,9,1,10,8,53036
00345176289A,0,3,4,5,1,7,6,2,8,9,10,53043
00243716598A,0,2,4,3,7,1,6,5,9,8,10,53047
00456723981A,0,4,5,6,7,2,3,9,8,1,10,53050
00453672981A,0,4,5,3,6,7,2,9,8,1,10,53054
00453672891A,0,4,5,3,6,7,2,8,9,1,10,53056
00435671298A,0,4,3,5,6,7,1,2,9,8,10,53059
00256437918A,0,2,5,6,4,3,7,9,1,8,10,53062
0035467812A9,0,3,5,4,6,7,8,1,2,10,9,53063
0014265389A7,0,1,4,2,6,5,3,8,9,10,7,53094
00425368719A,0,4,2,5,3,6,8,7,1,9,10,53110
00436751892A,0,4,3,6,7,5,1,8,9,2,10,53113
00453271689A,0,4,5,3,2,7,1,6,8,9,10,53115
0045632879A1,0,4,5,6,3,2,8,7,9,10,1,53117
0042637859A1,0,4,2,6,3,7,8,5,9,10,1,53118
0052476893A1,0,5,2,4,7,6,8,9,3,10,1,53125
00532674819A,0,5,3,2,6,7,4,8,1,9,10,53135
00352748961A,0,3,5,2,7,4,8,9,6,1,10,53145
0034265781A9,0,3,4,2,6,5,7,8,1,10,9,53152
0042653187A9,0,4,2,6,5,3,1,8,7,10,9,53156
0024653178A9,0,2,4,6,5,3,1,7,8,10,9,53159
0053261789A4,0,5,3,2,6,1,7,8,9,10,4,53192
00346578291A,0,3,4,6,5,7,8,2,9,1,10,53200
00254367981A,0,2,5,4,3,6,7,9,8,1,10,53203
00342675981A,0,3,4,2,6,7,5,9,8,1,10,53205
0045673289A1,0,4,5,6,7,3,2,8,9,10,1,53207
0024653879A1,0,2,4,6,5,3,8,7,9,10,1,53208
00315462897A,0,3,1,5,4,6,2,8,9,7,10,53210
0042367859A1,0,4,2,3,6,7,8,5,9,10,1,53211
00462357918A,0,4,6,2,3,5,7,9,1,8,10,53212
00564378291A,0,5,6,4,3,7,8,2,9,1,10,53214
00514763829A,0,5,1,4,7,6,3,8,2,9,10,53216
0024571639A8,0,2,4,5,7,1,6,3,9,10,8,53218
00246518793A,0,2,4,6,5,1,8,7,9,3,10,53218
00346218759A,0,3,4,6,2,1,8,7,5,9,10,53223
